DATE,AGE,SOCIAL MEDIA USAGE,MAIN SOCIAL MEDIA,CONFIDENCE,photo1,photo2,photo3,photo4,photo5,photo6,photo7,CONSENT
22/12/2025 20:25:53,41,Less than 1h,Facebook,3,Real photo,AI generated,AI generated,Real photo,Right Picture,Left Picture,Right Picture,"Yes, I accept"
22/12/2025 20:26:33,53,Less than 1h,Other,3,Real photo,Real photo,AI generated,Real photo,Left Picture,Left Picture,Right Picture,"Yes, I accept"
22/12/2025 20:42:20,21,1-3 hours,Instagram,3,Real photo,Real photo,AI generated,AI generated,Left Picture,Right Picture,Left Picture,"Yes, I accept"
22/12/2025 21:07:49,45,Less than 1h,Facebook,3,Real photo,AI generated,AI generated,Real photo,Right Picture,Right Picture,Right Picture,"Yes, I accept"
22/12/2025 21:19:57,63,Less than 1h,Other,1,Real photo,AI generated,AI generated,AI generated,Right Picture,Left Picture,Right Picture,"Yes, I accept"
22/12/2025 21:34:12,24,1-3 hours,TikTok,4,Real photo,AI generated,AI generated,Real photo,Left Picture,Right Picture,Left Picture,"Yes, I accept"
22/12/2025 21:41:20,21,Less than 1h,Other,2,AI generated,AI generated,AI generated,Real photo,Left Picture,Right Picture,Left Picture,"Yes, I accept"
22/12/2025 22:12:57,20,1-3 hours,TikTok,3,Real photo,AI generated,AI generated,AI generated,Right Picture,Right Picture,Left Picture,"Yes, I accept"
22/12/2025 22:37:31,20,1-3 hours,Instagram,3,AI generated,AI generated,AI generated,AI generated,Left Picture,Right Picture,Right Picture,"Yes, I accept"
23/12/2025 1:40:00,19,5+ hours,TikTok,4,Real photo,AI generated,AI generated,Real photo,Left Picture,Left Picture,Left Picture,"Yes, I accept"
23/12/2025 2:31:07,20,Less than 1h,Instagram,5,AI generated,Real photo,AI generated,AI generated,Left Picture,Right Picture,Left Picture,"Yes, I accept"
23/12/2025 7:54:50,46,1-3 hours,Facebook,4,Real photo,AI generated,AI generated,Real photo,Left Picture,Right Picture,Left Picture,"Yes, I accept"
23/12/2025 8:15:19,32,1-3 hours,Facebook,3,Real photo,AI generated,AI generated,Real photo,Left Picture,Left Picture,Left Picture,"Yes, I accept"
23/12/2025 8:47:03,48,1-3 hours,Facebook,2,AI generated,AI generated,AI generated,Real photo,Right Picture,Right Picture,Right Picture,"Yes, I accept"
23/12/2025 10:00:14,34,1-3 hours,Facebook,3,Real photo,Real photo,AI generated,Real photo,Right Picture,Right Picture,Left Picture,"Yes, I accept"
23/12/2025 10:16:13,50,Less than 1h,Facebook,3,Real photo,AI generated,AI generated,Real photo,Right Picture,Right Picture,Left Picture,"Yes, I accept"
23/12/2025 10:23:50,20,3-5 hours,TikTok,2,Real photo,AI generated,AI generated,AI generated,Left Picture,Left Picture,Left Picture,"Yes, I accept"
23/12/2025 10:31:02,52,Less than 1h,Facebook,4,Real photo,Real photo,AI generated,Real photo,Right Picture,Right Picture,Left Picture,"Yes, I accept"
23/12/2025 10:44:03,20,1-3 hours,TikTok,3,Real photo,AI generated,AI generated,Real photo,Left Picture,Left Picture,Right Picture,"Yes, I accept"
23/12/2025 10:44:05,67,Less than 1h,Other,3,Real photo,AI generated,AI generated,Real photo,Right Picture,Right Picture,Left Picture,"Yes, I accept"
23/12/2025 10:52:02,41,1-3 hours,Instagram,4,Real photo,AI generated,AI generated,Real photo,Left Picture,Left Picture,Right Picture,"Yes, I accept"
23/12/2025 11:09:53,22,1-3 hours,TikTok,1,AI generated,AI generated,AI generated,AI generated,Right Picture,Left Picture,Left Picture,"Yes, I accept"
23/12/2025 11:21:47,20,5+ hours,TikTok,3,Real photo,AI generated,AI generated,Real photo,Left Picture,Right Picture,Left Picture,"Yes, I accept"
23/12/2025 13:45:02,59,Less than 1h,TikTok,4,Real photo,AI generated,Real photo,AI generated,Right Picture,Left Picture,Left Picture,"Yes, I accept"
23/12/2025 13:47:02,61,Less than 1h,Facebook,3,Real photo,Real photo,AI generated,Real photo,Left Picture,Right Picture,Right Picture,"Yes, I accept"
23/12/2025 13:52:18,63,1-3 hours,Facebook,1,Real photo,Real photo,AI generated,AI generated,Right Picture,Left Picture,Left Picture,"Yes, I accept"
23/12/2025 13:56:44,26,Less than 1h,Instagram,3,Real photo,AI generated,AI generated,Real photo,Left Picture,Right Picture,Left Picture,"Yes, I accept"
23/12/2025 16:29:44,22,1-3 hours,Other,4,Real photo,AI generated,AI generated,AI generated,Right Picture,Right Picture,Left Picture,"Yes, I accept"
23/12/2025 16:30:40,59,Less than 1h,Other,3,Real photo,AI generated,Real photo,Real photo,Right Picture,Left Picture,Left Picture,"Yes, I accept"
23/12/2025 16:32:26,58,Less than 1h,Other,2,Real photo,AI generated,Real photo,Real photo,Left Picture,Left Picture,Left Picture,"Yes, I accept"
23/12/2025 16:32:28,61,1-3 hours,Instagram,2,Real photo,AI generated,AI generated,Real photo,Right Picture,Left Picture,Right Picture,"Yes, I accept"
23/12/2025 16:35:59,66,Less than 1h,Facebook,3,AI generated,AI generated,Real photo,Real photo,Left Picture,Right Picture,Right Picture,"Yes, I accept"
23/12/2025 16:38:53,60,Less than 1h,Other,3,AI generated,AI generated,AI generated,Real photo,Right Picture,Right Picture,Right Picture,"Yes, I accept"
23/12/2025 16:42:01,59,Less than 1h,Facebook,2,Real photo,AI generated,AI generated,Real photo,Left Picture,Right Picture,Right Picture,"Yes, I accept"
23/12/2025 17:03:43,63,Less than 1h,Other,3,Real photo,Real photo,AI generated,Real photo,Right Picture,Right Picture,Right Picture,"Yes, I accept"
23/12/2025 17:05:04,53,Less than 1h,Other,3,Real photo,Real photo,AI generated,AI generated,Right Picture,Right Picture,Left Picture,"Yes, I accept"
23/12/2025 17:05:32,52,1-3 hours,Other,4,Real photo,AI generated,AI generated,AI generated,Right Picture,Left Picture,Right Picture,"Yes, I accept"
23/12/2025 17:25:50,61,Less than 1h,Facebook,3,AI generated,AI generated,AI generated,Real photo,Right Picture,Right Picture,Left Picture,"Yes, I accept"
23/12/2025 17:28:19,67,Less than 1h,Facebook,3,Real photo,Real photo,AI generated,Real photo,Right Picture,Right Picture,Left Picture,"Yes, I accept"
23/12/2025 17:44:15,32,Less than 1h,Instagram,3,Real photo,AI generated,AI generated,Real photo,Right Picture,Right Picture,Left Picture,"Yes, I accept"
23/12/2025 17:44:40,54,1-3 hours,Other,1,Real photo,AI generated,AI generated,Real photo,Right Picture,Left Picture,Left Picture,"Yes, I accept"
23/12/2025 18:35:23,25,1-3 hours,Instagram,3,Real photo,AI generated,Real photo,AI generated,Left Picture,Right Picture,Left Picture,"Yes, I accept"
23/12/2025 18:50:29,58,Less than 1h,Other,5,Real photo,AI generated,AI generated,Real photo,Left Picture,Right Picture,Right Picture,"Yes, I accept"
23/12/2025 19:15:52,59,Less than 1h,Other,1,Real photo,AI generated,AI generated,Real photo,Right Picture,Right Picture,Left Picture,"Yes, I accept"
23/12/2025 19:19:11,58,Less than 1h,Other,2,Real photo,AI generated,AI generated,AI generated,Right Picture,Left Picture,Right Picture,"Yes, I accept"
23/12/2025 20:41:45,55,1-3 hours,TikTok,3,Real photo,AI generated,AI generated,Real photo,Left Picture,Left Picture,Right Picture,"Yes, I accept"
23/12/2025 20:56:27,52,Less than 1h,Facebook,3,AI generated,AI generated,AI generated,Real photo,Left Picture,Right Picture,Left Picture,"Yes, I accept"
23/12/2025 21:05:48,22,3-5 hours,TikTok,3,Real photo,AI generated,AI generated,AI generated,Left Picture,Right Picture,Left Picture,"Yes, I accept"
23/12/2025 21:11:30,31,1-3 hours,Instagram,4,Real photo,AI generated,AI generated,Real photo,Left Picture,Right Picture,Left Picture,"Yes, I accept"
23/12/2025 21:14:51,46,1-3 hours,Facebook,4,Real photo,AI generated,AI generated,Real photo,Left Picture,Right Picture,Left Picture,"Yes, I accept"
23/12/2025 22:45:17,23,1-3 hours,Instagram,4,Real photo,AI generated,AI generated,AI generated,Left Picture,Right Picture,Right Picture,"Yes, I accept"
23/12/2025 23:47:10,55,Less than 1h,Instagram,2,Real photo,Real photo,AI generated,AI generated,Right Picture,Left Picture,Right Picture,"Yes, I accept"
24/12/2025 8:52:48,22,1-3 hours,TikTok,4,AI generated,Real photo,AI generated,AI generated,Left Picture,Right Picture,Left Picture,"Yes, I accept"
24/12/2025 12:58:42,20,1-3 hours,X (formerly Twitter),3,Real photo,AI generated,AI generated,AI generated,Left Picture,Right Picture,Left Picture,"Yes, I accept"
24/12/2025 19:23:13,47,Less than 1h,Other,4,Real photo,AI generated,AI generated,Real photo,Right Picture,Right Picture,Left Picture,"Yes, I accept"
24/12/2025 23:58:06,29,3-5 hours,Instagram,2,Real photo,AI generated,AI generated,Real photo,Right Picture,Left Picture,Left Picture,"Yes, I accept"
25/12/2025 0:02:01,46,1-3 hours,Instagram,3,Real photo,AI generated,AI generated,Real photo,Right Picture,Left Picture,Left Picture,"Yes, I accept"
25/12/2025 0:05:14,35,1-3 hours,Instagram,3,AI generated,Real photo,AI generated,Real photo,Right Picture,Left Picture,Left Picture,"Yes, I accept"
25/12/2025 12:17:23,28,1-3 hours,Instagram,3,AI generated,AI generated,AI generated,AI generated,Left Picture,Right Picture,Left Picture,"Yes, I accept"
25/12/2025 12:53:44,20,3-5 hours,TikTok,4,Real photo,AI generated,AI generated,AI generated,Left Picture,Right Picture,Right Picture,"Yes, I accept"
25/12/2025 12:54:51,20,1-3 hours,Instagram,3,AI generated,AI generated,AI generated,AI generated,Right Picture,Right Picture,Left Picture,"Yes, I accept"
25/12/2025 13:00:27,22,1-3 hours,Instagram,4,Real photo,AI generated,AI generated,AI generated,Left Picture,Right Picture,Left Picture,"Yes, I accept"
25/12/2025 14:08:46,22,Less than 1h,Other,4,Real photo,AI generated,AI generated,AI generated,Left Picture,Right Picture,Right Picture,"Yes, I accept"
25/12/2025 14:42:42,22,1-3 hours,Instagram,4,Real photo,AI generated,AI generated,AI generated,Left Picture,Right Picture,Right Picture,"Yes, I accept"
25/12/2025 15:24:33,58,Less than 1h,Facebook,2,Real photo,AI generated,AI generated,Real photo,Left Picture,Left Picture,Left Picture,"Yes, I accept"
25/12/2025 15:56:58,20,5+ hours,TikTok,4,AI generated,AI generated,AI generated,AI generated,Right Picture,Right Picture,Left Picture,"Yes, I accept"
25/12/2025 15:57:56,20,Less than 1h,Instagram,3,Real photo,AI generated,AI generated,Real photo,Left Picture,Right Picture,Right Picture,"Yes, I accept"
25/12/2025 15:59:13,55,3-5 hours,Facebook,3,AI generated,AI generated,AI generated,AI generated,Right Picture,Left Picture,Right Picture,"Yes, I accept"
25/12/2025 15:59:48,23,1-3 hours,Other,5,Real photo,AI generated,AI generated,AI generated,Left Picture,Right Picture,Left Picture,"Yes, I accept"
25/12/2025 16:06:29,23,3-5 hours,Instagram,5,AI generated,AI generated,AI generated,AI generated,Right Picture,Right Picture,Left Picture,"Yes, I accept"
25/12/2025 16:06:52,63,1-3 hours,Facebook,3,Real photo,Real photo,AI generated,AI generated,Right Picture,Left Picture,Right Picture,"Yes, I accept"
25/12/2025 16:07:31,23,3-5 hours,Instagram,5,AI generated,AI generated,AI generated,AI generated,Right Picture,Right Picture,Left Picture,"Yes, I accept"
25/12/2025 16:08:29,19,3-5 hours,TikTok,2,Real photo,AI generated,AI generated,AI generated,Right Picture,Right Picture,Left Picture,"Yes, I accept"
25/12/2025 16:11:14,19,3-5 hours,Instagram,4,Real photo,AI generated,AI generated,AI generated,Left Picture,Right Picture,Left Picture,"Yes, I accept"
25/12/2025 16:21:10,20,1-3 hours,Instagram,5,Real photo,AI generated,AI generated,Real photo,Left Picture,Right Picture,Right Picture,"Yes, I accept"
25/12/2025 16:21:31,23,1-3 hours,TikTok,3,Real photo,AI generated,AI generated,AI generated,Left Picture,Left Picture,Right Picture,"Yes, I accept"
25/12/2025 16:37:29,23,1-3 hours,Instagram,2,AI generated,AI generated,AI generated,AI generated,Left Picture,Left Picture,Left Picture,"Yes, I accept"
25/12/2025 17:26:40,57,Less than 1h,Instagram,2,Real photo,AI generated,AI generated,Real photo,Right Picture,Right Picture,Right Picture,"Yes, I accept"
25/12/2025 19:18:55,19,3-5 hours,TikTok,4,Real photo,AI generated,AI generated,AI generated,Right Picture,Left Picture,Left Picture,"Yes, I accept"
25/12/2025 19:50:40,20,3-5 hours,TikTok,3,AI generated,AI generated,AI generated,AI generated,Left Picture,Right Picture,Left Picture,"Yes, I accept"
25/12/2025 23:12:16,57,1-3 hours,Instagram,2,Real photo,Real photo,AI generated,AI generated,Left Picture,Left Picture,Left Picture,"Yes, I accept"
25/12/2025 23:21:50,54,Less than 1h,Instagram,3,Real photo,AI generated,AI generated,Real photo,Right Picture,Right Picture,Left Picture,"Yes, I accept"
25/12/2025 23:22:53,56,1-3 hours,Instagram,1,AI generated,AI generated,AI generated,Real photo,Right Picture,Right Picture,Left Picture,"Yes, I accept"
25/12/2025 23:50:58,44,Less than 1h,Instagram,1,Real photo,AI generated,AI generated,Real photo,Left Picture,Left Picture,Left Picture,"Yes, I accept"
26/12/2025 0:10:50,40,Less than 1h,Instagram,2,Real photo,AI generated,AI generated,Real photo,Right Picture,Right Picture,Right Picture,"Yes, I accept"
26/12/2025 17:36:19,47,3-5 hours,Instagram,3,Real photo,AI generated,AI generated,AI generated,Right Picture,Left Picture,Right Picture,"Yes, I accept"
26/12/2025 17:55:13,22,3-5 hours,Instagram,3,Real photo,AI generated,AI generated,AI generated,Left Picture,Right Picture,Left Picture,"Yes, I accept"
